CustomerID,Customer Name,TerritoryID
11000,Jon Yang,9
11001,Eugene Huang,9
11002,Ruben Torres,9
11003,Christy Zhu,9
11004,Elizabeth Johnson,9
11005,Julio Ruiz,9
11006,Janet Alvarez,9
11007,Marco Mehta,9
11008,Rob Verhoff,9
11009,Shannon Carlson,9
11010,Jacquelyn Suarez,9
11011,Curtis Lu,9
11012,Lauren Walker,1
11013,Ian Jenkins,1
11014,Sydney Bennett,1
11015,Chloe Young,4
11016,Wyatt Hill,4
11017,Shannon Wang,9
11018,Clarence Rai,9
11019,Luke Lal,6
11020,Jordan King,6
11021,Destiny Wilson,1
11022,Ethan Zhang,1
11023,Seth Edwards,4
11024,Russell Xie,4
11025,Alejandro Beck,9
11026,Harold Sai,9
11027,Jessie Zhao,9
11028,Jill Jimenez,9
11029,Jimmy Moreno,9
11030,Bethany Yuan,9
11031,Theresa Ramos,9
11032,Denise Stone,9
11033,Jaime Nath,9
11034,Ebony Gonzalez,9
11035,Wendy Dominguez,9
11036,Jennifer Russell,4
11037,Chloe Garcia,6
11038,Diana Hernandez,9
11039,Marc Martin,9
11040,Jesse Murphy,1
11041,Amanda Carter,4
11042,Megan Sanchez,4
11043,Nathan Simmons,4
11044,Adam Flores,9
11045,Leonard Nara,9
11046,Christine Yuan,9
11047,Jaclyn Lu,9
11048,Jeremy Powell,9
11049,Carol Rai,4
11050,Alan Zheng,9
11051,Daniel Johnson,9
11052,Heidi Lopez,9
11053,Ana Price,4
11054,Deanna Munoz,9
11055,Gilbert Raje,9
11056,Michele Nath,9
11057,Carl Andersen,9
11058,Marc Diaz,9
11059,Ashlee Andersen,9
11060,Jon Zhou,9
11061,Todd Gao,9
11062,Noah Powell,1
11063,Angela Murphy,1
11064,Chase Reed,4
11065,Jessica Henderson,4
11066,Grace Butler,1
11067,Caleb Carter,1
11068,Tiffany Liang,9
11069,Carolyn Navarro,9
11070,Willie Raji,9
11071,Linda Serrano,9
11072,Casey Luo,9
11073,Amy Ye,9
11074,Levi Arun,9
11075,Felicia Jimenez,9
11076,Blake Anderson,9
11077,Leah Ye,9
11078,Gina Martin,6
11079,Donald Gonzalez,9
11080,Damien Chander,9
11081,Savannah Baker,4
11082,Angela Butler,4
11083,Alyssa Cox,4
11084,Lucas Phillips,1
11085,Emily Johnson,4
11086,Ryan Brown,4
11087,Tamara Liang,4
11088,Hunter Davis,4
11089,Abigail Price,4
